1819631  176 10303 1286321
1829910  177 10279 1286321
1840175  178 10265 1286322
1850468  179 10293 1286321
1862604  180 12136 1286321
1871059  181 8455 1286321
1881346  182 10287 1286322
1891644  183 10298 1286321
1901940  184 10296 1286321
1912245  185 10305 1286321
1922577  186 10332 1286322
1936220  187 13643 1286321
1943084  188 6864 1286321
1954529  189 11445 1286321
1963688  190 9159 1286322
1973970  191 10282 1286321
1984252  192 10282 1286321
1994561  193 10309 1286321
2004855  194 10294 1286322
2015121  195 10266 1286321
2028206  196 13085 1286321
2035737  197 7531 1286321
2046656  198 10919 1286322
2056274  199 9618 1286321
2066739  200 10465 1286321
2076920  201 10181 1286321
2087255  202 10335 1286322
2097472  203 10217 1286321
2107830  204 10358 1286321
2120252  205 12422 1286321
2128348  206 8096 1286322
2138630  207 10282 1286321
2148902  208 10272 1286321
2159177  209 10275 1286321
2169481  210 10304 1286322
2179789  211 10308 1286321
2190062  212 10273 1286321
2200347  213 10285 1286321
2212172  214 11825 1286322
2220930  215 8758 1286321
2231205  216 10275 1286321
2241486  217 10281 1286321
2251814  218 10328 1286322
2262095  219 10281 1286321
2272369  220 10274 1286321
2285913  221 13544 1286321
2292952  222 7039 1286322
2306492  223 13540 1286321
2313682  224 7190 1286321
2324855  225 11173 1286321
2334120  226 9265 1286322
2344428  227 10308 1286321
2354695  228 10267 1286321
2364972  229 10277 1286321
2377962  230 12990 1286322
2385559  231 7597 1286321
2396356  232 10797 1286321
2406147  233 9791 1286321
2416452  234 10305 1286322
2426790  235 10338 1286321
2437116  236 10326 1286321
2447361  237 10245 1286321
2457706  238 10345 1286322
2472087  239 14381 1286321
2478264  240 6177 1286321
2490307  241 12043 1286321
2498830  242 8523 1286322
2509073  243 10243 1286321
2519365  244 10292 1286321
2529630  245 10265 1286321
2539933  246 10303 1286322
2550209  247 10276 1286321
2562025  248 11816 1286321
2570807  249 8782 1286321
2581086  250 10279 1286322
2591374  251 10288 1286321
2601671  252 10297 1286321
2611949  253 10278 1286321
2622258  254 10309 1286322
